fecha,dp_BBVA,dp_BCP,dp_SYS,CLRI_BBVA_W52,CLRI_BCP_W52,CLRI_SYS_EW_W52,CLRI_SYS_AW_W52,CLRI_BBVA_W78,CLRI_BCP_W78,CLRI_SYS_AW_W78,CLRI_BBVA_W104,CLRI_BCP_W104,CLRI_SYS_AW_W104,delta_cds_h_M1,delta_m_orth_log_M1,delta_cds_l,delta_cds_l_lag1,term_spread,short_rate,cpi_12m_pct,D_CRISIS,POST_ZC
2007-11-16,-0.0013506805900000002,-0.0015061768399999842,-0.0014455333024999905,,,,,,,,,,,,,,,,,,0.0,0
2007-11-23,-0.002438344290000005,-0.0048089141700000115,-0.0038843919168000092,,,,,,,,,,,,,,,,,,0.0,0
2007-11-30,0.00016986357999999868,0.004641561190000004,0.002897599122100002,,,,,,,,,,,,,,,,,,0.0,0
2007-12-07,0.0018828414400000049,0.003947957919999995,0.003142562492799999,,,,,,,,,,,,,,,,,,0.0,0
2007-12-14,-0.0017388795999999929,0.0012139769600000017,6.23629016000038e-05,,,,,,,,,,,,,,,,,,0.0,0
2007-12-21,0.00010840065999999371,-0.003978630970000008,-0.0023846886343000073,,,,,,,,,,,,,,,,,,0.0,0
2007-12-28,0.0033115805499999984,0.000597648430000014,0.001656081956800008,,,,,,,,,,,,,,,,,,0.0,0
2008-01-04,-0.00018693855000000148,0.006451233959999997,0.003862346681099997,,,,,,,,,,,,,,,,,,0.0,0
2008-01-11,-0.0008399382799999938,0.0015642246400000004,0.0006266011012000027,,,,,,,,,,,,,,,,,,0.0,0
2008-01-18,-0.004155642200000004,-0.006807964840000014,-0.00577355901040001,,,,,,,,,,,,,,,,,,0.0,0
2008-01-25,-0.008574684427999996,-0.00775829167,-0.008076684845619998,,,,,,,,,,,,,,,,,,0.0,0
2008-02-01,0.0031495163779999974,0.008674748480000022,0.006519907960220012,,,,,,,,,,,,,,,,,,0.0,0
2008-02-08,0.004895877999999992,0.0014089143099999812,0.0027688301490999857,,,,,,,,,,,,,,,,,,0.0,0
2008-02-15,0.005154915590000003,0.002266459329999998,0.0033929572714,,,,,,,,,,,,,,,,,,0.0,0
2008-02-22,0.004449820450000003,-0.0012641441899999828,0.0009643020196000115,,,,,,,,,,,,,,,,,,0.0,0
2008-02-29,0.0012078683199999996,0.002707609899999991,0.0021227106837999944,,,,,,,,,,,,,,,,,,0.0,0
2008-03-07,0.002164380940000002,0.00466207817,0.003687976250300001,,,,,,,,,,,,,,,,,,0.0,0
2008-03-14,0.006871253359999996,0.003932429679999988,0.0050785709151999914,,,,,,,,,,,,,,,,,,0.0,0
2008-03-21,-0.00045650472000000053,-0.003102263549999984,-0.0020704176062999904,,,,,,,,,,,,,,,,,,0.0,0
2008-03-28,0.01599015089,-0.0014465156000000035,0.0053537843310999976,,,,,,,,,,,,,,,,,,0.0,0
2008-04-04,0.00362997122,0.010437424720000005,0.007782517855000002,,,,,,,,,,,,,,,,,,0.0,0
2008-04-11,-0.003232166149999993,0.0,-0.0012605447984999974,,,,,,,,,,,,,,,,,,0.0,0
2008-04-18,-0.005006140629999989,-0.0013184991900000165,-0.0027566793516000058,,,,,,,,,,,,,,,,,,0.0,0
2008-04-25,-0.0020440575600000066,-0.006007952619999979,-0.00446203354659999,,,,,,,,,,,,,,,,,,0.0,0
2008-05-02,-0.0011823848999999997,-0.0013610005300000172,-0.0012913404343000104,,,,,,,,,,,,,,,,,,0.0,0
2008-05-09,0.003482660989999997,0.004514773140000011,0.004112249401500005,,,,,,,,,,,,,,,,,,0.0,0
2008-05-16,-0.0004726516000000125,0.0003353378400000051,2.0221958399998233e-05,,,,,,,,,,,,,,,,,,0.0,0
2008-05-23,-0.0003824873799999906,-0.0031218356600000163,-0.0020534898308000064,,,,,,,,,,,,,,,,,,0.0,0
2008-05-30,-0.001387775710000011,-0.0019838011299999903,-0.0017513512161999984,,,,,,,,,,,,,,,,,,0.0,0
2008-06-06,0.008368007650000009,0.0023974753899999868,0.004725982971399995,,,,,,,,,,,,,,,,,,0.0,0
2008-06-13,-0.0030754423000000086,-0.006647143519999982,-0.0052541800441999915,,,,,,,,,,,,,,,,,,0.0,0
2008-06-20,-0.002411061379999996,-0.0011396978100000066,-0.0016355296023000026,,,,,,,,,,,,,,,,,,0.0,0
